"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
148176,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","A a S","A Superior"
155576,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
138305,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
138305,"Contratista O. Mayores","10 O.C.","Fundaciones","3era A","Tercera A"
138305,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
149270,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
149270,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
161281,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
143926,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
143926,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
156850,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
158235,"Contratista O. Mayores","6 O.C.","Obras de Arquitectura","3","Tercera"
157258,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
157258,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
157258,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
156448,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1a S","Primera Superior"
156448,"Consultor","1.3.","De Sistemas de Transporte","1a S","Primera Superior"
156448,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
148198,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A","A"
149131,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
149131,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
159016,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
158923,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
159728,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
156856,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
159724,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","A","A"
160402,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
160402,"Contratista O. Menores","3 O.M.","Bases y Sub-Bases","A a S","A Superior"
159974,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
159974,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
159974,"Contratista O. Mayores","10 O.C.","Fundaciones","2da","Segunda"
160402,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
149198,"Contratista O. Mayores","10 O.C.","Fundaciones","3era B","Tercera B"
149198,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
149198,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era B","Tercera B"
153815,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
159891,"Consultor","3.6.","Ingenieria de Transito","1era","Primera"
138291,"Contratista O. Mayores","10 O.C.","Fundaciones","1era","Primera"
138291,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","1era","Primera"
159891,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
160683,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
149205,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1a S","Primera Superior"
160807,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
160807,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
138184,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
138184,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
158665,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
148093,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
148093,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A","A"
161200,"Contratista O. Mayores","8 O.C.","Sondajes y Prospecciones","3era A","Tercera A"
143747,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A a S","A Superior"
157699,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
158831,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
158831,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
158831,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era A","Tercera A"
151541,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
151541,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
155723,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
155723,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
157603,"Contratista O. Mayores","16 O.C.","Reparación de Puentes y Cruces Desnivelados","3era B","Tercera B"
149014,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
159012,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
159017,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
161334,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
158404,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
159118,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
149250,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
149250,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
149020,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
149340,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
149340,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
158404,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
158027,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
158027,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
158027,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
158027,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
155769,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
155769,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","B","B"
161701,"Sin Registro","0","Sin Especialidad","no existe","no existe"
161281,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
161281,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3","Tercera"
158663,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
165213,"Otro Registro","0","Sin Especialidad","no existe","no existe"
165710,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A","A"
165038,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
105323,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
165038,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
160511,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
105323,"Contratista O. Menores","19 O.M.","Conservación Habitual de caminos y obras de regadío","B","B"
105323,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
105323,"Contratista O. Menores","22 O.M.","Revestimientos de Canales","A","A"
166046,"Otro Registro","0","Sin Especialidad","no existe","no existe"
162251,"Sin Registro","0","Sin Especialidad","no existe","no existe"
166201,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","B","B"
166201,"Contratista O. Menores","19 O.M.","Conservación Habitual de caminos y obras de regadío","B","B"
161867,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
161867,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
166201,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
166201,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","B","B"
166292,"Otro Registro","0","Sin Especialidad","no existe","no existe"
166418,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
166418,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","B","B"
166418,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
161637,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
161637,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
161639,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
161639,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
156447,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1era","Primera"
156447,"Consultor","1.3.","De Sistemas de Transporte","1era","Primera"
156447,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","2da","Segunda"
159220,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
149241,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
149241,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
157261,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
157261,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
157261,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
158562,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
138291,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
155214,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1a S","Primera Superior"
159220,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
158961,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
138290,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
138290,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
138290,"Contratista O. Mayores","10 O.C.","Fundaciones","2da","Segunda"
159336,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
159336,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
159020,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
159020,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
150084,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
150084,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
155214,"Consultor","4.1.","Estructuras","1a S","Primera Superior"
154382,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
154382,"Contratista O. Menores","3 O.M.","Bases y Sub-Bases","A a S","A Superior"
148110,"Contratista O. Mayores","6 O.C.","Obras de Arquitectura","1era","Primera"
149003,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
149003,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
148679,"Consultor","4.3.","Obras Hidraulicas y de Riego","1a S","Primera Superior"
148679,"Consultor","4.7.","Grandes Presas","1a S","Primera Superior"
149161,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
149161,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
201025,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","1era","Primera"
201003,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
201003,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
204797,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
204790,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
207299,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
203054,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
203054,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
204587,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
207215,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
207215,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
207202,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
206441,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
204823,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
206441,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
207899,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
206953,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
205569,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
208127,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","2da","Segunda"
206785,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
208248,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
208248,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
203802,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
203802,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
203802,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3","Tercera"
208119,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
204793,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
204793,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
201044,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
201044,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
204321,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
201044,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
201044,"Contratista O. Mayores","10 O.C.","Fundaciones","2da","Segunda"
201044,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
199509,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A a S","A Superior"
185469,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A","A"
185469,"Contratista O. Menores","15 O.M.","Estructuras de Maderas","A","A"
185469,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A","A"
208973,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
208171,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
206430,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era B","Tercera B"
207415,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
207415,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
207935,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
202050,"Consultor","4.3.","Obras Hidraulicas y de Riego","2da","Segunda"
206430,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
207134,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
206432,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
200624,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
200624,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
200624,"Contratista O. Menores","22 O.M.","Revestimientos de Canales","A","A"
207823,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
207975,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
209733,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
209640,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
209640,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
207975,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
209973,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
209973,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
210073,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
197171,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
210071,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
210083,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
210081,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
210088,"Otro Registro","0","Sin Especialidad","no existe","no existe"
210093,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
175401,"Contratista O. Mayores","4 O.C.","Obras de Hinca de Pilotaje y Tablestacas Marítimas","1era","Primera"
191892,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
204121,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
204121,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
200534,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
200536,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
204812,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
204812,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era A","Tercera A"
206289,"Otro Registro","0","Sin Especialidad","no existe","no existe"
204610,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
199690,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
204610,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
204013,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
105319,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
105319,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
201906,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
224342,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
224239,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
224617,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
224239,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
226886,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
221610,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
227357,"Sin Registro","0","Sin Especialidad","no existe","no existe"
227358,"Sin Registro","0","Sin Especialidad","no existe","no existe"
222772,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
227452,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
212956,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
212956,"Consultor","9.7.","Monitoreo y Vigilancia Ambiental","1a S","Primera Superior"
228058,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
228058,"Contratista O. Menores","3 O.M.","Bases y Sub-Bases","A a S","A Superior"
231723,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
231723,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
222418,"Contratista O. Menores","6 O.M.","Pilotaje y Tablestacado","A a S","A Superior"
235620,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
235620,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
229144,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
229144,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","B","B"
229144,"Contratista O. Menores","14 O.M.","Montaje de Equipos Eléctricos","B","B"
237546,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
248848,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
248848,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
237434,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
238513,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
238513,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
253773,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
253773,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
254683,"Contratista O. Menores","18 O.M.","Seguridad Vial","A a S","A Superior"
248394,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
248394,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
251919,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
251919,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
257649,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
257649,"Contratista O. Mayores","10 O.C.","Fundaciones","3era A","Tercera A"
257649,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era A","Tercera A"
250792,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
248401,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
250792,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
253781,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
253781,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
261354,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
255296,"Sin Registro","0","Sin Especialidad","no existe","no existe"
262806,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1a S","Primera Superior"
262806,"Consultor","4.4.","Obras Portuarias","1a S","Primera Superior"
262806,"Consultor","6.1.","Obras de Arquitectura","1a S","Primera Superior"
255185,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1a S","Primera Superior"
255185,"Consultor","9.1.","Estudios de Impacto Ambiental (E.I.A.)","1a S","Primera Superior"
246602,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
263246,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
222167,"Consultor","4.3.","Obras Hidraulicas y de Riego","1era","Primera"
223679,"Consultor","3.2.","Geologia, Prospecciones y Geofisica","3era","Tercera"
223679,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
223687,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
222167,"Consultor","1.4.","De Riego y Recursos Hidricos","1era","Primera"
224792,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","A","A"
220895,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","A","A"
225629,"Sin Registro","0","Sin Especialidad","no existe","no existe"
183532,"Consultor","4.8.","Obras Sanitarias","2da","Segunda"
225540,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
225540,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
226085,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
222514,"Contratista O. Mayores","4 O.C.","Obras de Hinca de Pilotaje y Tablestacas Marítimas","2da","Segunda"
228319,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
228319,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
209353,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
227258,"Contratista O. Menores","6 O.M.","Pilotaje y Tablestacado","A a S","A Superior"
234804,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
232864,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
232864,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
183532,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
237862,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
237833,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
227872,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era A","Tercera A"
228075,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
228075,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A a S","A Superior"
238546,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
232808,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
232808,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
250462,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
250462,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
252845,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A a S","A Superior"
248427,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
236965,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
250876,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
250876,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
249341,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
249341,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
248427,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
255212,"Contratista O. Mayores","17 O.C.","Señalización Vertical de Seguridad Vial","3","Tercera"
254731,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
255212,"Contratista O. Mayores","18 O.C.","Señalización Horizontal de Seguridad Vial","3","Tercera"
248966,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
248966,"Contratista O. Menores","8 O.M.","Instalación de Agua Potable y Alcantarillado","A a S","A Superior"
260792,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
261340,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
257029,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
232329,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
232329,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
223678,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
