ID;RUT;Razon Social;Fecha de actuacion (1era firma);Fecha de registro (ultima firma);Fecha de aprobacion x SII;Anio;Mes;Comuna Tributaria;Region Tributaria;Codigo de sociedad;Tipo de actuacion;Capital;Comuna Social;Region Social
2256;76286081-3;SILVA Y PRIETO LTDA;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;MACUL;13;SRL;CONSTITUCIÓN;2000000;MACUL;13
288;76286105-4;Verdespacio Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;1000000;PROVIDENCIA;13
1798;76286087-2;CAMVIEW LTDA;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PEDRO AGUIRRE CERDA;13;SRL;CONSTITUCIÓN;500000;PEDRO AGUIRRE CERDA;13
1661;76286084-8;CITRANS EXPRESS LTDA;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PUENTE ALTO;13;SRL;CONSTITUCIÓN;200000;PUENTE ALTO;13
2258;76286097-K;Servicios de Catering Maldonado  y Soffia Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;LA REINA;13;SRL;CONSTITUCIÓN;1000000;LA REINA;13
2225;76286093-7;Micropsia Ltda;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;RECOLETA;13;SRL;CONSTITUCIÓN;893000;RECOLETA;13
3409;76286116-K;Ascencio & Romero Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PUDAHUEL;13;SRL;CONSTITUCIÓN;700000;PUDAHUEL;13
3629;76286169-0;VERA Y NAVARRETE LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PUENTE ALTO;13;SRL;CONSTITUCIÓN;2000000;PUENTE ALTO;13
3161;76286126-7;PALMERAS Y MASAS C&P LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUINTERO;5;SRL;CONSTITUCIÓN;2000000;QUINTERO;5
1751;76286118-6;FARIAS & MELLA AISLACIONES TERMICAS Y CONSTRUCCIONES LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LA REINA;13;SRL;CONSTITUCIÓN;800000;LA REINA;13
1338;76286172-0;Sociedad Leiva y Muñoz Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PUENTE ALTO;13;SRL;CONSTITUCIÓN;500000;PUENTE ALTO;13
2039;76286141-0;LARRAIN Y MARGAS LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;SAN BERNARDO;13;SRL;CONSTITUCIÓN;200000;SAN BERNARDO;13
1805;76286173-9;SOCIEDAD PRESTADORA DE SERVICIOS Y ASESORÍAS REYES Y RUIZ LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PUDAHUEL;13;SRL;CONSTITUCIÓN;500000;PUDAHUEL;13
430;76286157-7;TARGACORP LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LA REINA;13;SRL;CONSTITUCIÓN;100000;LA REINA;13
4098;76286168-2;CONSTRUCTORA BIOHOME LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUILPUE;5;SRL;CONSTITUCIÓN;5000000;QUILPUE;5
2434;76286114-3;Vulkan Tech LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PUERTO MONTT;10;SRL;CONSTITUCIÓN;5000000;PUERTO MONTT;10
2861;76286147-K;Inmobiliaria Meza Ltda;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;9000000;PROVIDENCIA;13
4121;76286153-4;Transporte de Pasajeros y Carga  Buses Villarrica Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;TEMUCO;9;SRL;CONSTITUCIÓN;10000000;TEMUCO;9
1113;76286123-2;JPG Producciones Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;COPIAPO;3;SRL;CONSTITUCIÓN;600000;COPIAPO;3
2026;76286135-6;G&P LTDA;03-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;500000;PROVIDENCIA;13
3651;76286132-1;JOPASERV Empresa de Servicios Generales Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;ANTOFAGASTA;2;SRL;CONSTITUCIÓN;4500000;ANTOFAGASTA;2
1488;76286113-5;FOOD SERVICE LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;COQUIMBO;4;SRL;CONSTITUCIÓN;5000000;COQUIMBO;4
3963;76286167-4;ZUÑIGA Y VALENZUELA LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;VIÑA DEL MAR;5;SRL;CONSTITUCIÓN;4500000;VIÑA DEL MAR;5
4179;76286171-2;SOCIEDAD COMERCIAL PROVEMIN LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;ANTOFAGASTA;2;SRL;CONSTITUCIÓN;10000000;ANTOFAGASTA;2
3507;76286159-3;R&S CONSTRUCCIONES LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;MAULE;7;SRL;CONSTITUCIÓN;1000000;MAULE;7
3178;76286115-1;Bellus Cake Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;HUECHURABA;13;SRL;CONSTITUCIÓN;5000000;HUECHURABA;13
4083;76286127-5;ASESORIAS COMOMEVISTO LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;HUECHURABA;13;SRL;CONSTITUCIÓN;1000000;HUECHURABA;13
3373;76286119-4;SOCIEDAD DAYMO E HIJOS LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;TIERRA AMARILLA;3;SRL;CONSTITUCIÓN;5000000;TIERRA AMARILLA;3
1391;76286161-5;Homeduc Chile Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;300000;PROVIDENCIA;13
2739;76286134-8;SOCIEDAD ODONTOLOGICA INTEGRAL LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;14000000;PROVIDENCIA;13
2346;76286112-7;SOCIEDAD COMERCIAL Y SERVICIOS NICVAL LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;5000000;PROVIDENCIA;13
2023;76286129-1;VIDRIOS Y ALUMINIOS CREALVID LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;TALAGANTE;13;SRL;CONSTITUCIÓN;1000000;TALAGANTE;13
2441;76286125-9;LAGAR LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;COPIAPO;3;SRL;CONSTITUCIÓN;1000000;COPIAPO;3
2635;76286174-7;GRUPO MP MY PERFECT LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;5000000;PROVIDENCIA;13
1853;76286145-3;COMERCIAL RIGOZ LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;2000000;PROVIDENCIA;13
1845;76286162-3;Sociedad Veterinaria Hemovet ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;BUIN;13;SRL;CONSTITUCIÓN;5000000;TALAGANTE;13
2329;76286142-9;ASESORIA EN TECNOLOGIAS BUSINESS CUP LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;100000;PROVIDENCIA;13
813;76286152-6;Sociedad Comercial Farox Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;RANCAGUA;6;SRL;CONSTITUCIÓN;1000000;RANCAGUA;6
1046;76286175-5;VITACLEAN SERVICES LTDA.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUINTA NORMAL;13;SRL;CONSTITUCIÓN;1500000;QUINTA NORMAL;13
338;76286136-4;UNIVERSAL MED LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUILICURA;13;SRL;CONSTITUCIÓN;15000000;QUILICURA;13
422;76286138-0;COMERCIALIZADORA DEL NORTE LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUILICURA;13;SRL;CONSTITUCIÓN;15000000;QUILICURA;13
4193;76286158-5;La Libreta Simple Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;SAN MIGUEL;13;SRL;CONSTITUCIÓN;200000;SAN MIGUEL;13
3954;76286131-3;Cavanni Seguridad Industrial Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;MAIPU;13;SRL;CONSTITUCIÓN;2000000;MAIPU;13
3660;76286155-0;PELO VERDE COMUNICACIONES LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;300000;RANCAGUA;6
1714;76286151-8;Master Chef Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;RANCAGUA;6;SRL;CONSTITUCIÓN;20000000;RANCAGUA;6
2369;76286163-1;CHINCHERO VILLACIS LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;RANCAGUA;6;SRL;CONSTITUCIÓN;1000000;RANCAGUA;6
2883;76286133-K;Inmobiliaria Versalles Ltda;06-05-2013;07-05-2013;07-05-2013;2013;Mayo;LO BARNECHEA;13;SRL;CONSTITUCIÓN;25000000;LO BARNECHEA;13
3529;76286128-3;CKC LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;PEÑALOLEN;13;SRL;CONSTITUCIÓN;50000;PEÑALOLEN;13
490;76286139-9;COMERCIALIZADORA DIGITEC LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;QUILICURA;13;SRL;CONSTITUCIÓN;15000000;QUILICURA;13
440;76286144-5;ANDAU SERVICIOS GASTRONOMICOS, BAR Y RESTAURANT LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;9000000;LAS CONDES;13
3710;76286121-6;AYALA, CASTILLO LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;IQUIQUE;1;SRL;CONSTITUCIÓN;2000000;IQUIQUE;1
3458;76286122-4;CHEDAGA RESTAURANT LTDA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;CURICO;7;SRL;CONSTITUCIÓN;5000000;CURICO;7
2688;76286148-8;Palma Valenzuela Dina Ester y Otra Ltda;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;ÑUÑOA;13;SRL;CONSTITUCIÓN;1500000;ÑUÑOA;13
2621;76286124-0;Constructora Monte Alto Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;TALCA;7;SRL;CONSTITUCIÓN;1000000;TALCA;7
3001;76286117-8;Venta de Perfumes Originales Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;3000000;SANTIAGO;13
2445;76286165-8;Arias y  Niño de Zepeda Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;800000;LAS CONDES;13
107;76286143-7;Inversiones RS Limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;VILLARRICA;9;SRL;CONSTITUCIÓN;3000000;LAS CONDES;13
923;76286156-9;COMERCIAL RIFIUTI LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;CURICO;7;SRL;CONSTITUCIÓN;3000000;CURICO;7
2656;76286166-6;Comercializadora Fun 4 Kids Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;2000000;LAS CONDES;13
1844;76286149-6;EMPRESA DE RECURSOS HUMANOS EN MATERIAS  INHERENTES EN SEGURIDAD PRIVADA Ltda.;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;TALCA;7;SRL;CONSTITUCIÓN;3000000;TALCA;7
4145;76286164-K;AGRICOLA Y TRANSPORTES CONTADINO LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;CURICO;7;SRL;CONSTITUCIÓN;2000000;CURICO;7
4129;76286146-1;INGENIERIA Y CONSTRUCCION REYES Y REYES LIMITADA;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;2000000;SANTIAGO;13
3596;76286154-2;Muebleria Latina DyA limitada;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;LA CISTERNA;13;SRL;CONSTITUCIÓN;2120000;LA CISTERNA;13
4061;76286137-2;Acciona Gestores Comerciales Ltda;07-05-2013;07-05-2013;07-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;2000000;SANTIAGO;13
3461;76286235-2;FABRICA DE CORTINAS, DECORACIONES Y TEXTIL ANELY S HOME LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;INDEPENDENCIA;13;SRL;CONSTITUCIÓN;4000000;INDEPENDENCIA;13
491;76286191-7;Sociedad Vásquez Suárez Ltda.;03-05-2013;03-05-2013;08-05-2013;2013;Mayo;ÑUÑOA;13;SRL;CONSTITUCIÓN;2000000;ÑUÑOA;13
3526;76286223-9;Restaurant Ruiz de Gamboa Limitada;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;CHILLAN VIEJO;8;SRL;CONSTITUCIÓN;5000000;CHILLAN VIEJO;8
3503;76286219-0;Gonzalez y Lieberman Sociedad Limitada;07-05-2013;07-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;500000;LAS CONDES;13
3493;76286204-2;IMPORTADORA, EXPORTADORA Y COMERCIAL OLIVARES VIVANCO LIMITADA;07-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;4000000;LAS CONDES;13
660;76286231-K;Patricio Lepe-Carrión e Iván Canales Valenzuela Ltda.;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;TALCA;7;SRL;CONSTITUCIÓN;2000000;TALCA;7
720;76286206-9;Servicios de Investigaciones SocialBrand Limitada;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;ÑUÑOA;13;SRL;CONSTITUCIÓN;3000000;ÑUÑOA;13
4677;76286193-3;HECAM LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;3000000;LAS CONDES;13
523;76286179-8;SOCIEDAD COMERCIAL 2R LIMITADA;03-05-2013;08-05-2013;08-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;10000000;SANTIAGO;13
2625;76286183-6;Sociedad Santa Mónica Limitada;06-05-2013;06-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;15000000;LAS CONDES;13
2631;76286217-4;DICOMGRAF LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;3000000;SANTIAGO;13
1651;76286209-3;Sabag y Sabag Ltda;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;1000000;LAS CONDES;13
2351;76286236-0;Sociedad Educacional Kapenanetu Limitada;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;2000000;LAS CONDES;13
2224;76286245-K;FUENZALIDA Y ASOCIADOS ARQUITECTOS LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;500000;LAS CONDES;13
3087;76286189-5;Birrificio Salza y Cia. Ltda.;07-05-2013;07-05-2013;08-05-2013;2013;Mayo;CURACAVI;13;SRL;CONSTITUCIÓN;25000000;CURACAVI;13
1430;76286232-8;Escuela Privada de Parapsicologia, Ciencias Afines y Desarrollo Personal EL SANTUARIO Ltda.;06-05-2013;06-05-2013;08-05-2013;2013;Mayo;IQUIQUE;1;SRL;CONSTITUCIÓN;2500000;IQUIQUE;1
915;76286263-8;HEALTH PATAGONIA LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;ÑUÑOA;13;SRL;CONSTITUCIÓN;1000000;ÑUÑOA;13
2729;76286258-1;Cuzmar y Cuzmar ltda;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;1000000;SANTIAGO;13
4405;76286242-5;SOCIEDAD COMERCIAL SAN JORGE LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;CURICO;7;SRL;CONSTITUCIÓN;4000000;CURICO;7
4809;76286239-5;Comercial iMarket Limitada;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;5000000;LAS CONDES;13
3086;76286186-0;Ferretería Maule Ltda.;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;TALCA;7;SRL;CONSTITUCIÓN;10000000;TALCA;7
4412;76286262-K;Servicios Integrales del Norte Ltda;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;IQUIQUE;1;SRL;CONSTITUCIÓN;8000000;IQUIQUE;1
3752;76286243-3;PATH Inversiones y Servicios Ltda;07-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;800000;LAS CONDES;13
4675;76286248-4;RVE ASESORIAS Y GESTION LIMITADA;08-05-2013;08-05-2013;08-05-2013;2013;Mayo;LAMPA;13;SRL;CONSTITUCIÓN;3000000;LAMPA;13
2423;76286182-8;Zamorano y Murúa Asesorías y Gestión Integral Limitada;06-05-2013;06-05-2013;08-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;500000;SANTIAGO;13
